case_type,filing_year,state,court_level,number_of_hearings,judge_workload,historical_disposal_rate,delay_months
Criminal,2013,Tamil Nadu,District,31,633,0.68,33.33
Commercial,2016,Karnataka,Supreme,19,565,0.46,48.45
Commercial,2018,Karnataka,District,39,245,0.57,31.22
Property,2012,Tamil Nadu,High,35,338,0.52,34.0
Family,2011,Delhi,District,3,287,0.87,6.71
Commercial,2015,Tamil Nadu,High,24,403,0.62,38.5
Civil,2012,Maharashtra,District,32,738,0.75,35.39
Criminal,2017,Maharashtra,Supreme,33,418,0.36,61.56
Criminal,2020,Karnataka,High,37,380,0.35,53.16
Family,2023,Tamil Nadu,District,23,657,0.77,26.24
Civil,2018,Delhi,District,19,692,0.38,32.73
Civil,2020,Delhi,District,37,685,0.58,40.44
Commercial,2021,Delhi,Supreme,39,746,0.6,56.38
Family,2010,Karnataka,District,18,346,0.89,16.7
Property,2011,Delhi,High,3,627,0.62,21.66
Criminal,2011,Delhi,District,39,521,0.59,40.44
Civil,2020,Uttar Pradesh,District,15,658,0.41,22.97
Criminal,2015,Tamil Nadu,Supreme,18,578,0.7,45.44
Criminal,2015,Delhi,District,15,536,0.35,32.14
Commercial,2015,Maharashtra,District,5,474,0.71,17.2
Civil,2014,Delhi,District,24,772,0.64,39.32
Criminal,2015,Maharashtra,Supreme,13,742,0.36,55.9
Criminal,2013,Karnataka,High,16,675,0.74,32.51
Commercial,2023,Maharashtra,High,18,322,0.31,28.76
Property,2014,Maharashtra,Supreme,19,222,0.58,39.13
Civil,2020,Uttar Pradesh,Supreme,7,434,0.43,42.62
Property,2019,Tamil Nadu,Supreme,28,510,0.51,40.41
Civil,2023,Uttar Pradesh,District,3,732,0.48,26.4
Property,2013,Uttar Pradesh,District,5,499,0.37,17.02
Civil,2014,Tamil Nadu,District,17,267,0.53,23.17
Criminal,2023,Uttar Pradesh,High,6,790,0.36,27.91
Family,2013,Maharashtra,High,5,785,0.7,17.63
Civil,2017,Delhi,District,37,700,0.56,42.78
Commercial,2019,Karnataka,District,3,266,0.43,14.61
Civil,2018,Delhi,High,31,587,0.57,38.89
Criminal,2015,Tamil Nadu,Supreme,29,616,0.5,57.12
Criminal,2019,Karnataka,Supreme,25,651,0.69,57.41
Family,2018,Uttar Pradesh,High,33,412,0.84,36.1
Family,2021,Karnataka,High,13,740,0.9,21.53
Property,2011,Maharashtra,High,5,648,0.88,19.22
Civil,2022,Tamil Nadu,District,16,243,0.52,28.46
Property,2021,Maharashtra,District,15,696,0.8,20.01
Family,2020,Maharashtra,High,35,524,0.32,40.14
Property,2020,Tamil Nadu,High,18,230,0.61,22.99
Criminal,2020,Maharashtra,District,12,671,0.31,24.04
Family,2012,Maharashtra,High,33,788,0.57,34.0
Family,2015,Delhi,District,30,666,0.6,26.5
Family,2018,Delhi,High,34,447,0.88,34.44
Commercial,2014,Delhi,Supreme,26,669,0.72,48.71
Criminal,2014,Maharashtra,Supreme,25,485,0.46,54.18
Family,2021,Uttar Pradesh,High,35,312,0.43,30.36
Property,2010,Uttar Pradesh,High,10,662,0.63,23.81
Commercial,2014,Delhi,High,28,238,0.5,31.19
Commercial,2010,Karnataka,Supreme,28,360,0.86,47.54
Civil,2014,Tamil Nadu,District,14,314,0.73,24.05
Criminal,2019,Delhi,High,18,671,0.86,37.16
Civil,2020,Delhi,High,26,656,0.68,41.42
Family,2021,Delhi,Supreme,9,220,0.37,33.0
Family,2021,Uttar Pradesh,High,34,647,0.72,29.64
Commercial,2011,Uttar Pradesh,High,22,271,0.54,27.6
Commercial,2013,Karnataka,District,4,474,0.65,15.96
Family,2012,Delhi,High,31,525,0.58,30.34
Commercial,2012,Tamil Nadu,High,20,353,0.6,31.22
Criminal,2022,Tamil Nadu,Supreme,10,620,0.57,45.6
Family,2020,Delhi,District,24,671,0.32,23.38
Criminal,2011,Karnataka,Supreme,39,782,0.73,62.95
Property,2016,Karnataka,Supreme,26,743,0.46,45.83
Criminal,2010,Uttar Pradesh,Supreme,24,681,0.52,50.12
Civil,2022,Maharashtra,District,12,791,0.31,31.23
Commercial,2021,Tamil Nadu,Supreme,6,674,0.86,43.06
Property,2021,Uttar Pradesh,Supreme,35,695,0.52,48.62
Civil,2018,Uttar Pradesh,District,24,464,0.71,29.24
Commercial,2022,Delhi,District,10,407,0.74,24.31
Property,2019,Maharashtra,District,35,712,0.57,31.25
Property,2019,Karnataka,District,10,586,0.44,18.88
Criminal,2022,Uttar Pradesh,High,7,537,0.77,30.85
Family,2016,Tamil Nadu,Supreme,18,694,0.5,40.18
Property,2018,Maharashtra,District,9,636,0.41,18.12
Property,2016,Maharashtra,Supreme,18,740,0.49,44.01
Commercial,2023,Tamil Nadu,Supreme,19,775,0.88,45.17
Criminal,2014,Maharashtra,High,14,368,0.74,28.25
Criminal,2022,Karnataka,High,35,576,0.71,41.15
Family,2022,Karnataka,District,20,228,0.75,15.7
Property,2015,Maharashtra,Supreme,38,372,0.66,45.17
Property,2018,Delhi,District,32,436,0.38,28.91
Property,2013,Uttar Pradesh,High,29,765,0.84,28.18
Civil,2013,Karnataka,Supreme,24,760,0.49,50.91
Family,2018,Tamil Nadu,High,4,679,0.34,25.16
Family,2023,Tamil Nadu,District,19,459,0.37,24.58
Family,2013,Karnataka,High,33,324,0.39,35.23
Property,2011,Maharashtra,Supreme,7,268,0.6,32.33
Civil,2021,Tamil Nadu,High,11,461,0.47,35.54
Property,2021,Karnataka,High,18,492,0.51,29.88
Civil,2017,Maharashtra,Supreme,15,487,0.64,44.19
Commercial,2011,Uttar Pradesh,Supreme,38,353,0.86,52.01
Criminal,2022,Tamil Nadu,District,35,356,0.47,39.16
Commercial,2020,Maharashtra,Supreme,5,654,0.65,37.11
Family,2021,Maharashtra,Supreme,17,431,0.74,30.09
Criminal,2015,Maharashtra,District,3,612,0.34,26.2
Commercial,2010,Uttar Pradesh,High,33,346,0.83,31.62
Property,2019,Karnataka,District,28,363,0.46,25.7
Criminal,2020,Tamil Nadu,High,15,716,0.75,31.15
Civil,2020,Maharashtra,High,6,686,0.32,36.67
Family,2014,Uttar Pradesh,High,6,677,0.62,17.68
Criminal,2016,Delhi,Supreme,12,364,0.39,43.77
Property,2017,Uttar Pradesh,Supreme,8,417,0.39,32.77
Civil,2023,Maharashtra,District,21,456,0.3,32.53
Criminal,2020,Maharashtra,Supreme,24,649,0.38,54.2
Family,2020,Tamil Nadu,High,10,285,0.38,19.44
Family,2016,Delhi,High,10,336,0.79,19.16
Property,2021,Tamil Nadu,District,23,770,0.74,21.65
Commercial,2019,Karnataka,District,10,223,0.66,19.16
Civil,2017,Maharashtra,District,34,633,0.66,34.55
Criminal,2019,Uttar Pradesh,High,27,691,0.31,49.26
Family,2015,Uttar Pradesh,High,30,616,0.64,32.08
Property,2023,Karnataka,District,24,544,0.83,20.8
Property,2011,Tamil Nadu,Supreme,17,655,0.65,38.99
Civil,2022,Maharashtra,District,9,728,0.62,27.13
Civil,2016,Tamil Nadu,High,15,502,0.5,34.83
Commercial,2010,Uttar Pradesh,Supreme,31,221,0.45,44.7
Civil,2022,Uttar Pradesh,District,12,666,0.68,22.14
Criminal,2012,Karnataka,High,37,340,0.86,37.06
Civil,2014,Maharashtra,Supreme,9,410,0.81,41.15
Property,2017,Maharashtra,High,15,452,0.71,18.51
Property,2019,Uttar Pradesh,High,35,459,0.66,31.47
Criminal,2022,Uttar Pradesh,District,29,507,0.42,34.42
Property,2016,Karnataka,High,35,343,0.78,32.84
Criminal,2016,Tamil Nadu,High,7,624,0.7,27.74
Family,2014,Uttar Pradesh,High,33,547,0.81,27.28
Criminal,2015,Tamil Nadu,High,29,576,0.55,41.59
Criminal,2023,Maharashtra,District,27,767,0.52,45.11
Property,2012,Uttar Pradesh,High,4,552,0.69,19.19
Criminal,2022,Karnataka,High,20,782,0.74,36.54
Commercial,2023,Tamil Nadu,District,37,275,0.87,31.68
Property,2021,Karnataka,Supreme,27,631,0.42,39.84
Civil,2018,Tamil Nadu,High,33,701,0.83,40.74
Property,2014,Karnataka,Supreme,39,285,0.72,41.52
Commercial,2015,Karnataka,District,19,581,0.82,18.92
Property,2013,Maharashtra,Supreme,37,754,0.58,56.1
Family,2019,Maharashtra,High,15,455,0.8,18.93
Criminal,2020,Tamil Nadu,High,38,368,0.48,45.83
Property,2016,Maharashtra,District,9,470,0.8,9.84
Property,2010,Uttar Pradesh,High,15,431,0.38,26.12
Property,2015,Delhi,High,33,791,0.31,33.67
Family,2022,Uttar Pradesh,District,30,563,0.42,32.75
Property,2015,Tamil Nadu,District,20,656,0.31,32.34
Property,2017,Delhi,Supreme,24,203,0.53,44.33
Civil,2018,Delhi,District,8,365,0.75,20.23
Property,2019,Uttar Pradesh,District,37,742,0.6,29.19
Property,2019,Maharashtra,High,37,599,0.53,37.11
Criminal,2022,Maharashtra,District,29,362,0.56,36.56
Criminal,2014,Tamil Nadu,High,37,483,0.84,42.79
Criminal,2020,Maharashtra,High,23,362,0.65,37.31
Family,2015,Delhi,High,21,254,0.76,21.62
Property,2018,Delhi,High,31,799,0.48,36.6
Commercial,2021,Karnataka,District,25,502,0.78,30.33
Commercial,2013,Maharashtra,Supreme,17,200,0.67,41.43
Civil,2019,Karnataka,High,11,612,0.57,38.46
Criminal,2011,Tamil Nadu,District,35,595,0.88,35.41
Commercial,2010,Maharashtra,Supreme,22,250,0.49,41.17
Civil,2020,Maharashtra,High,35,667,0.79,43.09
Family,2013,Tamil Nadu,Supreme,7,670,0.66,29.92
Family,2012,Tamil Nadu,High,21,326,0.51,24.14
Criminal,2020,Karnataka,District,8,663,0.33,35.21
Civil,2018,Delhi,District,19,696,0.84,30.57
Family,2015,Maharashtra,Supreme,32,371,0.74,41.84
Commercial,2012,Uttar Pradesh,High,38,662,0.72,42.34
Family,2011,Maharashtra,Supreme,5,454,0.85,30.93
Criminal,2010,Delhi,High,38,735,0.38,48.23
Criminal,2011,Tamil Nadu,High,6,332,0.32,33.79
Family,2018,Delhi,Supreme,21,492,0.89,41.34
Commercial,2013,Uttar Pradesh,District,32,458,0.84,25.55
Civil,2022,Maharashtra,District,11,700,0.31,29.57
Criminal,2021,Delhi,Supreme,15,662,0.78,50.49
Commercial,2011,Delhi,Supreme,29,207,0.49,48.57
Criminal,2023,Tamil Nadu,District,12,468,0.77,29.27
Commercial,2022,Maharashtra,Supreme,31,294,0.69,45.85
Criminal,2011,Uttar Pradesh,District,24,713,0.64,35.07
Criminal,2011,Tamil Nadu,High,6,448,0.72,29.5
Family,2015,Tamil Nadu,District,27,665,0.71,19.21
Family,2020,Uttar Pradesh,District,22,713,0.72,25.87
Family,2021,Delhi,District,29,704,0.7,25.56
Criminal,2010,Uttar Pradesh,Supreme,10,742,0.46,51.15
Criminal,2022,Maharashtra,High,23,433,0.6,39.04
Criminal,2015,Uttar Pradesh,Supreme,31,560,0.44,58.07
Property,2018,Delhi,District,36,260,0.77,20.23
Criminal,2023,Karnataka,High,31,672,0.78,46.68
Commercial,2011,Uttar Pradesh,Supreme,5,281,0.46,36.15
Civil,2010,Tamil Nadu,District,9,648,0.46,30.45
Civil,2022,Delhi,Supreme,28,698,0.57,54.18
Criminal,2010,Karnataka,Supreme,37,655,0.73,56.02
Civil,2022,Karnataka,High,21,224,0.72,32.29
Criminal,2018,Delhi,High,30,200,0.52,41.83
Civil,2022,Uttar Pradesh,District,10,395,0.69,24.62
Commercial,2010,Tamil Nadu,High,6,379,0.56,22.96
Family,2016,Uttar Pradesh,District,23,304,0.31,25.46
Family,2019,Uttar Pradesh,District,22,553,0.38,23.08
Commercial,2022,Tamil Nadu,High,35,777,0.71,39.63
Property,2018,Karnataka,Supreme,36,241,0.59,46.56
Commercial,2011,Uttar Pradesh,District,25,706,0.39,31.88
Civil,2010,Maharashtra,High,18,759,0.62,35.83
Commercial,2016,Karnataka,High,33,525,0.33,47.75
Family,2011,Karnataka,High,8,609,0.62,17.73
Commercial,2020,Delhi,High,31,273,0.41,43.3
Civil,2015,Maharashtra,High,28,531,0.53,35.69
Civil,2016,Maharashtra,High,10,654,0.88,24.72
Property,2011,Uttar Pradesh,District,28,444,0.71,22.38
Property,2018,Karnataka,Supreme,18,626,0.31,35.96
Family,2015,Uttar Pradesh,Supreme,4,366,0.49,30.13
Criminal,2018,Uttar Pradesh,Supreme,21,608,0.78,46.53
Civil,2012,Maharashtra,District,28,260,0.32,32.47
Commercial,2022,Maharashtra,District,36,592,0.64,31.32
Commercial,2012,Karnataka,Supreme,24,332,0.49,53.34
Family,2022,Maharashtra,High,11,292,0.62,18.26
Civil,2013,Karnataka,District,12,517,0.87,21.38
Property,2017,Delhi,High,8,390,0.48,19.32
Property,2017,Maharashtra,High,6,759,0.36,28.71
Commercial,2010,Uttar Pradesh,District,37,233,0.53,36.59
Property,2021,Delhi,Supreme,21,425,0.59,37.45
Commercial,2015,Maharashtra,District,19,374,0.35,31.34
Civil,2017,Delhi,High,28,559,0.44,44.83
Commercial,2023,Delhi,District,8,207,0.42,17.66
Civil,2022,Karnataka,Supreme,21,292,0.9,44.58
Property,2011,Tamil Nadu,Supreme,14,616,0.61,35.23
Commercial,2018,Uttar Pradesh,High,12,515,0.38,27.08
Family,2012,Karnataka,District,39,409,0.42,26.87
Property,2011,Uttar Pradesh,Supreme,26,615,0.65,39.64
Commercial,2017,Maharashtra,District,13,679,0.41,28.16
Family,2015,Karnataka,District,15,401,0.7,16.09
Family,2011,Delhi,High,19,647,0.87,28.46
Criminal,2023,Delhi,District,22,279,0.31,32.41
Commercial,2014,Tamil Nadu,District,14,600,0.52,25.75
Property,2013,Maharashtra,High,14,497,0.86,19.38
Commercial,2023,Uttar Pradesh,District,36,564,0.84,34.32
Criminal,2023,Karnataka,Supreme,17,285,0.55,39.77
Property,2016,Karnataka,High,17,348,0.62,21.61
Commercial,2021,Uttar Pradesh,Supreme,34,508,0.72,48.9
Civil,2018,Karnataka,Supreme,7,645,0.68,42.57
Commercial,2016,Tamil Nadu,Supreme,26,521,0.55,45.37
Family,2014,Karnataka,District,17,492,0.7,18.09
Family,2021,Tamil Nadu,Supreme,25,611,0.89,38.31
Property,2020,Delhi,District,20,443,0.45,21.24
Civil,2022,Maharashtra,High,10,327,0.43,29.38
Criminal,2011,Delhi,High,33,770,0.76,48.52
Commercial,2016,Tamil Nadu,Supreme,9,381,0.79,30.67
Family,2013,Maharashtra,Supreme,13,228,0.65,37.36
Criminal,2023,Delhi,Supreme,21,383,0.55,49.26
Commercial,2015,Tamil Nadu,High,11,552,0.41,32.45
Criminal,2016,Tamil Nadu,District,13,772,0.31,34.93
Civil,2018,Delhi,District,15,454,0.57,30.64
Criminal,2021,Delhi,High,26,268,0.61,36.63
Criminal,2014,Uttar Pradesh,High,14,765,0.32,40.9
Commercial,2020,Uttar Pradesh,High,11,389,0.73,26.74
Family,2018,Delhi,High,7,456,0.42,20.31
Commercial,2012,Karnataka,District,33,542,0.59,29.95
Criminal,2013,Maharashtra,District,20,345,0.87,26.21
Family,2010,Karnataka,District,27,674,0.4,30.2
Commercial,2013,Delhi,Supreme,29,686,0.41,53.93
Criminal,2017,Tamil Nadu,Supreme,39,293,0.43,52.03
Property,2017,Tamil Nadu,Supreme,18,691,0.64,38.68
Property,2012,Delhi,High,6,783,0.4,21.06
Family,2013,Delhi,Supreme,19,540,0.77,37.86
Commercial,2017,Maharashtra,Supreme,29,663,0.58,54.2
Commercial,2019,Uttar Pradesh,District,35,230,0.33,35.35
Commercial,2010,Karnataka,District,36,597,0.88,33.32
Civil,2016,Karnataka,High,11,785,0.63,31.22
Property,2018,Delhi,District,31,653,0.62,24.81
Family,2010,Delhi,High,26,672,0.52,35.46
Property,2014,Maharashtra,High,30,597,0.57,37.24
Property,2016,Tamil Nadu,District,3,420,0.56,16.51
Civil,2022,Delhi,Supreme,37,441,0.53,53.74
Criminal,2014,Maharashtra,Supreme,13,426,0.4,42.92
Property,2010,Uttar Pradesh,High,26,570,0.34,29.83
Civil,2023,Delhi,Supreme,32,291,0.7,46.75
Family,2016,Maharashtra,High,9,479,0.88,21.57
Criminal,2017,Delhi,District,38,570,0.77,41.17
Property,2011,Karnataka,District,31,503,0.87,28.77
Property,2017,Uttar Pradesh,High,28,213,0.57,28.61
Civil,2020,Uttar Pradesh,District,3,395,0.89,11.68
Commercial,2012,Maharashtra,District,37,507,0.83,29.51
Commercial,2022,Tamil Nadu,District,5,225,0.31,17.15
Property,2014,Uttar Pradesh,District,38,250,0.72,18.19
Civil,2019,Delhi,Supreme,5,427,0.31,41.39
Family,2023,Uttar Pradesh,District,29,406,0.46,27.75
Commercial,2022,Tamil Nadu,High,27,433,0.41,33.32
Property,2017,Delhi,High,35,341,0.82,31.48
Commercial,2017,Tamil Nadu,High,9,376,0.72,23.03
Commercial,2018,Tamil Nadu,High,15,656,0.85,26.16
Criminal,2012,Delhi,High,26,207,0.75,37.47
Civil,2011,Maharashtra,Supreme,33,751,0.46,56.19
Property,2019,Uttar Pradesh,High,29,374,0.48,26.67
Commercial,2011,Maharashtra,Supreme,8,510,0.43,38.46
Family,2021,Uttar Pradesh,Supreme,31,477,0.69,38.18
Family,2020,Karnataka,District,31,669,0.59,27.71
Property,2021,Karnataka,High,38,724,0.32,38.23
Criminal,2022,Uttar Pradesh,District,39,526,0.76,37.94
Civil,2012,Maharashtra,High,36,267,0.56,43.17
Criminal,2012,Delhi,High,35,590,0.31,48.77
Criminal,2014,Tamil Nadu,High,33,663,0.88,45.54
Civil,2014,Uttar Pradesh,Supreme,31,386,0.77,48.74
Property,2013,Tamil Nadu,Supreme,26,324,0.85,35.2
Commercial,2015,Uttar Pradesh,District,13,369,0.33,23.08
Civil,2013,Delhi,District,23,298,0.57,25.47
Criminal,2015,Tamil Nadu,District,7,660,0.57,22.92
Property,2019,Uttar Pradesh,Supreme,8,654,0.62,33.57
Family,2019,Delhi,High,10,715,0.54,25.79
Criminal,2017,Maharashtra,Supreme,17,754,0.77,48.61
Criminal,2012,Maharashtra,High,30,516,0.47,46.58
Commercial,2014,Delhi,District,32,287,0.7,30.46
Civil,2022,Delhi,High,9,749,0.79,31.4
Family,2012,Maharashtra,Supreme,31,627,0.88,44.12
Property,2018,Uttar Pradesh,High,31,562,0.69,27.07
Family,2014,Maharashtra,District,18,726,0.51,18.42
Family,2017,Maharashtra,District,6,226,0.45,10.11
Family,2015,Tamil Nadu,Supreme,11,380,0.71,37.6
Civil,2020,Delhi,High,9,459,0.84,21.56
Civil,2015,Uttar Pradesh,Supreme,18,752,0.53,48.04
Property,2015,Karnataka,District,6,454,0.46,12.08
Property,2012,Uttar Pradesh,High,7,592,0.34,25.57
Commercial,2016,Karnataka,High,28,793,0.76,36.54
Criminal,2018,Delhi,Supreme,19,262,0.38,49.42
Civil,2020,Delhi,District,36,304,0.78,27.52
Civil,2022,Karnataka,High,30,458,0.74,39.32
Commercial,2014,Karnataka,District,26,244,0.74,30.17
Property,2018,Uttar Pradesh,High,11,600,0.61,30.82
Criminal,2017,Maharashtra,High,5,694,0.55,34.1
Family,2015,Karnataka,Supreme,12,527,0.57,36.85
Criminal,2013,Tamil Nadu,High,24,598,0.35,38.83
Family,2019,Delhi,District,25,513,0.84,21.1
Commercial,2012,Uttar Pradesh,Supreme,16,783,0.89,42.15
Criminal,2021,Delhi,High,3,259,0.41,32.85
Family,2022,Delhi,High,5,763,0.8,18.4
Commercial,2012,Maharashtra,Supreme,28,430,0.56,51.05
Civil,2010,Tamil Nadu,High,24,676,0.32,36.7
Criminal,2022,Delhi,Supreme,5,593,0.6,40.34
Criminal,2010,Karnataka,District,13,310,0.51,22.78
Criminal,2022,Maharashtra,Supreme,6,212,0.63,33.31
Civil,2021,Karnataka,High,36,319,0.56,42.37
Property,2017,Uttar Pradesh,High,14,348,0.42,22.83
Property,2017,Tamil Nadu,District,16,425,0.52,24.13
Criminal,2010,Uttar Pradesh,Supreme,28,308,0.59,44.2
Family,2016,Delhi,High,21,474,0.32,38.98
Property,2021,Uttar Pradesh,High,12,740,0.41,26.97
Commercial,2016,Tamil Nadu,High,25,409,0.79,27.2
Criminal,2013,Uttar Pradesh,District,9,254,0.5,24.0
Criminal,2011,Karnataka,Supreme,12,730,0.73,42.54
Criminal,2010,Uttar Pradesh,Supreme,22,468,0.78,48.21
Property,2015,Karnataka,Supreme,13,600,0.5,32.33
Criminal,2019,Delhi,High,24,300,0.66,38.8
Family,2014,Tamil Nadu,High,35,499,0.31,35.6
Family,2015,Tamil Nadu,High,10,531,0.64,21.4
Criminal,2023,Uttar Pradesh,District,30,432,0.8,29.96
Family,2019,Delhi,Supreme,24,307,0.6,36.81
Civil,2019,Delhi,Supreme,29,534,0.7,52.6
Criminal,2014,Tamil Nadu,Supreme,36,449,0.8,50.84
Commercial,2023,Maharashtra,District,37,744,0.32,41.07
Family,2018,Tamil Nadu,High,38,485,0.82,32.85
Criminal,2023,Maharashtra,District,14,320,0.7,27.09
Family,2023,Karnataka,High,13,212,0.39,19.29
Criminal,2022,Delhi,Supreme,12,655,0.57,47.41
Civil,2019,Tamil Nadu,Supreme,30,329,0.35,52.66
Commercial,2022,Uttar Pradesh,Supreme,10,212,0.65,31.19
Civil,2022,Maharashtra,Supreme,17,772,0.61,53.54
Civil,2010,Uttar Pradesh,District,38,524,0.37,41.23
Property,2018,Uttar Pradesh,High,39,701,0.77,34.29
Property,2023,Uttar Pradesh,Supreme,30,674,0.52,44.99
Family,2010,Maharashtra,District,27,503,0.74,19.26
Civil,2016,Uttar Pradesh,Supreme,32,732,0.78,50.99
Family,2018,Tamil Nadu,District,24,604,0.78,19.75
Civil,2022,Tamil Nadu,District,15,796,0.54,28.48
Family,2021,Tamil Nadu,High,24,723,0.62,28.9
Civil,2021,Karnataka,District,8,343,0.88,20.83
Commercial,2019,Uttar Pradesh,District,32,251,0.49,28.44
Family,2022,Karnataka,Supreme,31,218,0.57,41.73
Criminal,2010,Uttar Pradesh,High,7,727,0.33,35.27
Criminal,2015,Karnataka,Supreme,34,455,0.56,52.85
Commercial,2015,Tamil Nadu,High,20,712,0.39,35.4
Criminal,2014,Tamil Nadu,District,31,431,0.5,37.32
Property,2012,Delhi,District,10,287,0.47,11.72
Property,2019,Uttar Pradesh,District,16,332,0.61,18.57
Property,2021,Karnataka,High,9,791,0.35,24.12
Family,2010,Uttar Pradesh,High,16,277,0.67,20.56
Property,2016,Delhi,Supreme,38,206,0.65,43.81
Commercial,2019,Tamil Nadu,District,5,622,0.35,25.25
Family,2011,Karnataka,High,8,415,0.46,17.56
Property,2015,Karnataka,District,14,226,0.3,20.27
Property,2018,Karnataka,High,15,572,0.78,26.79
Family,2022,Maharashtra,District,15,617,0.64,18.68
Criminal,2018,Karnataka,District,20,453,0.56,30.23
Criminal,2016,Tamil Nadu,High,23,236,0.62,32.16
Criminal,2010,Maharashtra,Supreme,26,661,0.37,55.88
Criminal,2020,Maharashtra,High,39,730,0.66,47.87
Family,2016,Delhi,District,28,245,0.67,18.9
Criminal,2023,Delhi,District,13,725,0.8,27.08
Criminal,2015,Uttar Pradesh,Supreme,31,710,0.38,54.61
Civil,2017,Delhi,District,7,686,0.85,18.48
Property,2019,Delhi,High,15,533,0.65,19.87
Commercial,2019,Uttar Pradesh,District,27,296,0.49,30.32
Family,2017,Maharashtra,District,8,416,0.49,18.15
Family,2021,Tamil Nadu,Supreme,6,677,0.8,31.75
Civil,2011,Delhi,High,11,399,0.65,30.19
Property,2015,Uttar Pradesh,District,25,220,0.87,20.14
Family,2012,Uttar Pradesh,High,6,795,0.52,23.05
Property,2021,Tamil Nadu,High,16,741,0.71,22.31
Civil,2011,Maharashtra,High,16,333,0.43,32.08
Civil,2018,Tamil Nadu,High,33,772,0.8,48.37
Commercial,2014,Uttar Pradesh,Supreme,27,294,0.8,38.56
Commercial,2012,Karnataka,High,27,471,0.6,38.54
Commercial,2023,Maharashtra,High,14,340,0.44,29.89
Civil,2012,Karnataka,High,36,774,0.42,48.64
Civil,2016,Delhi,Supreme,10,719,0.53,43.58
Commercial,2010,Delhi,District,36,435,0.58,36.56
Property,2015,Karnataka,District,24,542,0.48,23.71
Family,2013,Delhi,High,24,332,0.86,26.1
Criminal,2011,Maharashtra,District,18,542,0.3,28.85
Family,2021,Karnataka,Supreme,9,365,0.5,36.51
Family,2017,Delhi,High,7,647,0.67,17.16
Family,2022,Maharashtra,District,25,701,0.46,18.55
Family,2013,Maharashtra,Supreme,27,324,0.78,42.23
Commercial,2010,Maharashtra,District,11,695,0.64,18.39
Civil,2011,Delhi,High,32,731,0.4,47.31
Commercial,2012,Maharashtra,District,38,451,0.73,29.09
Property,2011,Delhi,High,11,416,0.76,23.6
Criminal,2015,Tamil Nadu,Supreme,12,210,0.67,45.78
Family,2014,Delhi,High,34,572,0.65,31.48
Commercial,2011,Delhi,Supreme,3,775,0.5,33.63
Criminal,2010,Tamil Nadu,Supreme,14,367,0.36,46.42
Commercial,2011,Tamil Nadu,Supreme,34,790,0.45,57.9
Commercial,2022,Maharashtra,Supreme,8,216,0.62,36.3
Family,2015,Delhi,High,22,514,0.37,36.55
Criminal,2020,Delhi,District,3,468,0.35,23.08
Criminal,2010,Delhi,District,8,717,0.79,25.58
Property,2010,Delhi,High,21,762,0.37,31.53
Civil,2018,Karnataka,District,6,795,0.36,27.42
Civil,2023,Tamil Nadu,Supreme,9,311,0.56,43.26
Civil,2019,Uttar Pradesh,Supreme,28,609,0.52,52.38
Criminal,2015,Maharashtra,Supreme,18,445,0.81,49.09
Property,2010,Uttar Pradesh,District,15,595,0.43,19.84
Commercial,2010,Delhi,District,24,473,0.45,26.71
Civil,2012,Tamil Nadu,High,11,225,0.61,28.16
Commercial,2016,Karnataka,Supreme,10,337,0.48,38.5
Civil,2013,Uttar Pradesh,Supreme,16,367,0.65,41.02
Commercial,2016,Tamil Nadu,High,25,252,0.79,28.04
Family,2015,Delhi,High,30,791,0.6,29.95
Family,2018,Uttar Pradesh,High,15,646,0.83,22.94
Criminal,2014,Karnataka,High,29,612,0.55,36.24
